nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Konsultant SAP,"Warszawa, +2 locations",Tak,16 800,25 200
ERP Support Consultant,Gliwice,Tak,10 000,12 000
Support Engineer,Gliwice,Tak,12 000,14 000
SAP Application Maintenance Consultant,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Dynamics CRM Developer,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Programista SAP – ABAP/Fiori,Warszawa,Tak,12 000,17 500
Senior SAP Basis Specialist,"Gdańsk, +1 location",Tak,Brak danych,Brak danych
SAP ABAP Developer,"Gdańsk, +1 location",Tak,Brak danych,Brak danych
Junior ERP specialist,Komorniki,Nie,Brak danych,Brak danych
ABAP Developer,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Technology Specialist - Integration,Kraków,Nie,Brak danych,Brak danych
Finance BI Specialist,Kraków,Nie,Brak danych,Brak danych
Senior SAP PP Consultant,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
SAP Consultant / Senior Consultant,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Applied Intelligence FinCrime Consultant,Warsaw,Nie,Brak danych,Brak danych
Salesforce Consultant,"Wrocław, +3 locations",Tak,9 000,15 700
eCommerce Strategist,Kraków,Nie,18 480,23 184
SAP Commerce Cloud / Hybris Frontend Dev. for Samsung SDS,"Gdańsk, +1 location",Tak,34 000,39 000
Specjalista/Konsultant ds. wdrożeń (WMS),Wrocław,Nie,8 600,12 300
HT Functional Consultant with ERP Industry Solutions all levels,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Specjalista/Konsultant ds. wdrożeń (ERP),Wrocław,Tak,8 600,12 300
Developer Narzędzi Prowizyjnych,Warszawa,Nie,Brak danych,Brak danych
SAP MM Application Consultant,Kraków,Tak,16 000,22 000
SAP Architect (FI/CO),Kraków,Nie,Brak danych,Brak danych
Specjalista ds. wdrożeń ERP,Katowice,Nie,Brak danych,Brak danych
Product Owner - Microsoft Dynamics AX,Warszawa,Tak,Brak danych,Brak danych
SAP (FI-CO) Functional Consultant,"Kraków, +1 location",Nie,Brak danych,Brak danych
Młodszy Programista Aplikacji Biznesowych,Wrocław,Nie,7 000,8 200
Konsultant Techniczny - Programista,Kraków,Nie,Brak danych,Brak danych
Konsultant systemów ERP,Warszawa,Tak,Brak danych,Brak danych
SAP FI/CO Consultant,"Łódź, +2 locations",Tak,25 000,30 000
SAP IBP Consultant,Wrocław,Tak,Brak danych,Brak danych
Senior SAP FI/CO Konsultant,Kraków,Nie,14 000,19 000
SAP ABAP Developer,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Junior SAP Cloud Consultant,Wrocław,Nie,6 000,10 000
SAP ABAP Developer,"Katowice, +2 locations",Nie,8 000,16 000
SAP SD Consultant,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
IT Project Manager / PMO Support,"Warszawa, +1 location",Tak,Brak danych,Brak danych
Młodszy Programista SQL,Wrocław,Nie,7 000,8 200
Finance Platforms Consultant,Kraków,Nie,Brak danych,Brak danych
IT Service Management Expert,"Kraków, +1 location",Tak,10 000,20 000
SAP SD Consultant,"Wrocław, +2 locations",Nie,Brak danych,Brak danych
Systems Consultant,"Tczew, +1 location",Nie,Brak danych,Brak danych
SAP Application Specialist,"Tczew, +1 location",Nie,Brak danych,Brak danych
Scrum Master,"Starogard Gdański, +1 location",Nie,Brak danych,Brak danych
Salesforce Developer,Warszawa,Tak,Brak danych,Brak danych
Analityk Biznesowo-Systemowy,Bolszewo,Nie,Brak danych,Brak danych
Integrator ERP - CDN XL,Poznań,Nie,Brak danych,Brak danych
Specjalista ds. systemów ERP,Krotoszyn,Nie,Brak danych,Brak danych
SAP B1 Implementations Consultant,"Park West, +19 locations",Tak,15 000,20 000
Release Manager,"Sopot, +2 locations",Nie,Brak danych,Brak danych
ERP Consultant Service Logistics,"Zielona Góra, +2 locations",Tak,Brak danych,Brak danych
ERP Consultant Service Finance,"Zielona Góra, +2 locations",Tak,Brak danych,Brak danych
Ekspert B+R ds. rozwoju oprogramowania dla transportu i logistyki (1/2 etatu),"Bełchatów, +2 locations",Nie,Brak danych,Brak danych
ABAP Developer,Katowice,Tak,Brak danych,Brak danych
Architekt rozwiązań SAP,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Projektant aplikacji chmurowych (SAP),"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Konsultant obiegu dokumentów (SAP),"Wrocław, +2 locations",Tak,Brak danych,Brak danych
SAP CRM Developer,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
C4C Developer,Wrocław,Tak,Brak danych,Brak danych
SAP SuccessFactors Consultant,Wrocław,Tak,Brak danych,Brak danych
Customer Success Manager,Wrocław,Tak,Brak danych,Brak danych
SAP Quality Manager,Wrocław,Tak,Brak danych,Brak danych
SAP Cloud Product Owner,Wrocław,Tak,Brak danych,Brak danych
SAP TM Consultant,Wrocław,Tak,Brak danych,Brak danych
ABAP Developer,Wrocław,Tak,Brak danych,Brak danych
SAPUI5 Developer,Wrocław,Tak,Brak danych,Brak danych
SAP EWM Senior Consultant,Wrocław,Tak,Brak danych,Brak danych
SAP HANA Developer,Wrocław,Tak,Brak danych,Brak danych
German-speaking presales consultant (SAP),Wrocław,Nie,Brak danych,Brak danych
Specjalista ds systemów magazynowych WMS,Krotoszyn,Nie,Brak danych,Brak danych
SAP Integration Consultant,Wrocław,Tak,11 000,16 000
Junior Consultant (Logistic or Finance),"Wrocław, +2 locations",Nie,4 000,6 000
SAP SuccessFactors Consultant,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
SAP CRM & Sales Cloud Consultant,"Warsaw, +2 locations",Tak,Brak danych,Brak danych
SAP TM Consultant,"Warszawa, +2 locations",Tak,20 800,28 800
Senior SAP BW/BI Consultant,"Wrocław, +2 locations",Tak,12 000,20 000
SAP Consultant MM/WM/EWM,"Wrocław, +2 locations",Tak,13 000,20 500
ERP Ecosystem Specialist,Warszawa,Nie,Brak danych,Brak danych
SAP SuccessFactors Consultant,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
SAP CRM & Sales Cloud Consultant,"Warsaw, +2 locations",Tak,Brak danych,Brak danych
SAP TM Consultant,"Warszawa, +2 locations",Tak,20 800,28 800
Senior SAP BW/BI Consultant,"Wrocław, +2 locations",Tak,12 000,20 000
SAP Consultant MM/WM/EWM,"Wrocław, +2 locations",Tak,13 000,20 500
ERP Ecosystem Specialist,Warszawa,Nie,Brak danych,Brak danych
SAP Finance Consultant (FI),Warszawa,Tak,Brak danych,Brak danych
Konsultant Microsoft Dynamics 365 BC,Poznań,Nie,8 500,9 500
Salesforce Administrator,"Wrocław, +2 locations",Tak,10 000,16 000
Senior Salesforce Developer,"Kraków, +1 location",Tak,15 000,25 000
Salesforce Enterprise Solution Architect,"Kraków, +1 location",Tak,18 000,25 000
Tech Consultant/ABAP Developer (SAP SD),Warszawa,Nie,Brak danych,Brak danych
SAP SD Consultant,Warszawa,Nie,Brak danych,Brak danych
ABAP Development Architect,Warszawa,Nie,Brak danych,Brak danych
Salesforce Business Analyst,"Wrocław, +2 locations",Tak,12 000,20 000
Junior SAP Business One Consultant,Warszawa,Nie,6 000,9 000
SAP Security & Authorizations Consultant,Warszawa,Nie,Brak danych,Brak danych
Program płatnych praktyk - SAP Academy,Warszawa,Nie,Brak danych,Brak danych
