nazwa,miasto,zdalnie,zarobki
Web Games Developer,"Nicosia, +2 locations",Tak,8 780
"PHYSICS PROGRAMMER, NETWORK PHYSICS",Cary,Tak,Brak danych
Junior Developer,Sopot,Nie,Brak danych
Unity Client Architect,"Warszawa, +4 locations",Nie,Brak danych
Unity Developer,"Warszawa, +18 locations",Tak,Brak danych
Remote Game Developer,"Kraków, +1 location",Tak,Brak danych
Unity Developer,Wrocław,Tak,18 000
Senior Unity Developer,"Nicosia, +2 locations",Tak,10 980
Gameplay Programmer Unreal Engine 4,"Warszawa, +18 locations",Tak,13 000
Lead VIP Account Manager,"Warszawa, +5 locations",Tak,8 780
Senior Project Manager (branża VR/AR),"Bielsko-Biała, +2 locations",Tak,15 960
Senior Unity Programista 3D,"Bielsko-Biała, +2 locations",Tak,14 112
Unity Developer,Warszawa,Tak,10 000
Unity Developer,Kraków,Tak,Brak danych
Game Developer,Kraków,Tak,6 000
3D Animator,"Warszawa, +2 locations",Tak,5 000
Level Designer,"Warszawa, +2 locations",Tak,6 000
Voxel Artist,"Nicosia, +2 locations",Tak,Brak danych
Unity Engine Technical Artist,"Nicosia, +2 locations",Tak,10 980
Unreal Engine 4 Developer,"Warszawa, +2 locations",Tak,37 160
VFX Artist,"Nicosia, +2 locations",Tak,6 590
Unreal Technical Artist,"Nicosia, +2 locations",Tak,8 780
"Mobile Tech Lead, Unity",Warszawa,Nie,Brak danych
Senior Unity Engineer,Warszawa,Nie,Brak danych
Middle Unity Engineer,Warszawa,Nie,Brak danych
Senior Software Engineer,San Francisco,Tak,25 620
C++ Developer,"Kraków, +2 locations",Tak,11 000
Frontend Developer React,Wrocław,Tak,12 000
Junior Game Designer,Łódź,Nie,3 200
